usage_id,customer_id,month,data_used_gb,calls_minutes,texts_sent,revenue
U0000000,VZ000377,2024-01,14.7,719,546,55
U0000001,VZ000474,2024-01,59.69,1440,1350,70
U0000002,VZ000111,2024-01,44.81,1578,4344,70
U0000003,VZ000144,2024-01,23.68,1623,3186,45
U0000004,VZ000332,2024-01,16.67,1753,543,55
U0000005,VZ000429,2024-01,36.9,1859,3891,45
U0000006,VZ000124,2024-01,22.9,842,1558,70
U0000007,VZ000257,2024-01,34.16,1881,3906,45
U0000008,VZ000376,2024-01,22.3,373,1469,40
U0000009,VZ000055,2024-01,4.18,478,580,45
U0000010,VZ000016,2024-01,34.49,648,1164,45
U0000011,VZ000462,2024-01,45.7,932,2923,45
U0000012,VZ000448,2024-01,34.85,228,1432,40
U0000013,VZ000260,2024-01,53.16,1386,3210,55
U0000014,VZ000479,2024-01,31.22,1299,2002,45
U0000015,VZ000487,2024-01,9.77,781,4616,70
U0000016,VZ000165,2024-01,2.62,1621,798,40
U0000017,VZ000107,2024-01,54.92,421,3623,40
U0000018,VZ000010,2024-01,7.25,1416,649,70
U0000019,VZ000381,2024-01,48.41,855,1490,45
U0000020,VZ000037,2024-01,23.55,1168,2733,70
U0000021,VZ000114,2024-01,56.52,1316,3581,40
U0000022,VZ000231,2024-01,26.25,1460,2196,70
U0000023,VZ000375,2024-01,21.4,862,2506,70
U0000024,VZ000470,2024-01,14.09,302,733,55
U0000025,VZ000120,2024-01,27.74,805,3327,70
U0000026,VZ000214,2024-01,26.14,1200,2947,40
U0000027,VZ000116,2024-01,43.74,211,1534,45
U0000028,VZ000356,2024-01,58.17,512,712,70
U0000029,VZ000468,2024-01,46.96,1728,1192,40
U0000030,VZ000488,2024-01,55.6,1265,1338,55
U0000031,VZ000208,2024-01,13.8,331,3772,55
U0000032,VZ000112,2024-01,59.21,1891,980,55
U0000033,VZ000236,2024-01,26.54,1933,1963,70
U0000034,VZ000143,2024-01,34.95,726,3406,70
U0000035,VZ000200,2024-01,44.66,508,4116,45
U0000036,VZ000494,2024-01,40.39,187,4332,45
U0000037,VZ000394,2024-01,11.1,780,4557,55
U0000038,VZ000062,2024-01,36.5,854,4610,55
U0000039,VZ000243,2024-01,57.72,1343,1369,45
U0000040,VZ000349,2024-01,40.27,1050,3781,45
U0000041,VZ000489,2024-01,45.69,714,562,70
U0000042,VZ000262,2024-01,52.38,314,2361,55
U0000043,VZ000317,2024-01,29.6,1637,551,70
U0000044,VZ000281,2024-01,7.0,1550,3684,55
U0000045,VZ000239,2024-01,43.74,1210,1876,40
U0000046,VZ000416,2024-01,3.96,1357,907,40
U0000047,VZ000306,2024-01,19.08,608,2780,55
U0000048,VZ000186,2024-01,27.28,1812,939,40
U0000049,VZ000301,2024-01,45.45,1482,603,45
U0000050,VZ000406,2024-01,35.5,1463,1525,40
U0000051,VZ000137,2024-01,28.8,821,4409,45
U0000052,VZ000149,2024-01,24.63,627,1824,70
U0000053,VZ000160,2024-01,57.88,704,2716,40
U0000054,VZ000330,2024-01,41.26,415,4791,70
U0000055,VZ000196,2024-01,32.36,422,3993,45
U0000056,VZ000256,2024-01,35.63,494,4683,70
U0000057,VZ000343,2024-01,30.74,245,2138,45
U0000058,VZ000216,2024-01,30.28,276,518,70
U0000059,VZ000050,2024-01,27.04,1010,4073,70
U0000060,VZ000086,2024-01,29.11,130,4080,55
U0000061,VZ000483,2024-01,30.29,349,3311,55
U0000062,VZ000420,2024-01,3.32,1685,1174,45
U0000063,VZ000344,2024-01,33.99,875,3770,70
U0000064,VZ000192,2024-01,25.18,1369,3306,45
U0000065,VZ000235,2024-01,52.38,1520,3991,45
U0000066,VZ000135,2024-01,35.89,1355,1110,40
U0000067,VZ000321,2024-01,58.8,462,4677,40
U0000068,VZ000477,2024-01,19.52,1833,4105,55
U0000069,VZ000036,2024-01,54.53,1105,4502,55
U0000070,VZ000047,2024-01,36.76,286,3291,40
U0000071,VZ000338,2024-01,41.68,851,2996,40
U0000072,VZ000202,2024-01,8.01,1278,1737,45
